Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Turborotalita humilis & Berggrenia pumilio,Candeina nitida ,Globigerinita glutinata
MD012394,Piston,13.78,110.25,2097,SCS,5.39,5.4,20.63,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,1.23,1.64,21.31,2.05,3.69,0,2.46,4.51,4.92,0.41,0.41,0.82,0,0,0,33.2,0,0,4.51,2.05,0,0.41,0,4.1,6.15,0,6.15
MD012394,Piston,13.78,110.25,2097,SCS,5.44,5.45,20.89,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,1.32,0.66,23.1,2.31,5.28,0,2.64,5.28,5.28,1.32,0.66,0.33,0,0.33,0,30.03,0.66,0,4.95,1.65,0,0,0,3.3,3.96,0,6.93
MD012394,Piston,13.78,110.25,2097,SCS,5.49,5.5,21.15,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,1.67,0.33,23.67,1.67,7,0,1.67,2.67,3,0.67,0,0.67,0,0,0,29.67,0.67,0,4.33,1.67,0.67,0,0,3.67,7.33,0.33,8.67
MD012394,Piston,13.78,110.25,2097,SCS,5.54,5.55,21.41,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,2.31,0.29,23.99,1.16,3.47,0,1.16,3.47,7.8,1.73,0.87,1.16,0,0,0,28.32,1.16,0,2.89,0.58,0,0.58,0,4.34,5.49,0,9.25
MD012394,Piston,13.78,110.25,2097,SCS,5.59,5.6,21.67,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,3.19,0,20.77,1.6,6.39,0,0.64,3.51,6.39,0.96,0.96,0.64,0,0.32,0,29.71,0,0,3.19,3.19,0,0,0,1.92,8.95,0,7.67
MD012394,Piston,13.78,110.25,2097,SCS,5.64,5.65,21.93,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,0.94,0,26.29,1.41,3.76,0,1.41,2.82,4.23,0.47,0.94,1.41,0,0,0,27.7,0,0,6.1,1.88,0,0,0,4.23,7.51,0,8.92
MD012394,Piston,13.78,110.25,2097,SCS,5.69,5.7,22.19,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,2.16,0,28.06,2.88,5.76,0,1.44,3.6,6.12,0.36,0,2.52,0,0,0,28.06,0,0,2.16,0.36,0,0,0,3.96,5.4,0,7.19
MD012394,Piston,13.78,110.25,2097,SCS,5.74,5.75,22.45,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,2.82,0.31,22.88,1.57,5.96,0,2.51,7.52,4.39,1.25,0.31,3.45,0,0,0,21.94,0,0,5.64,2.82,0,0.31,0,1.88,6.27,0,8.15
MD012394,Piston,13.78,110.25,2097,SCS,5.79,5.8,22.71,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,1.43,0,16.05,1.15,7.45,0,1.43,5.73,4.87,0.86,0.57,2.87,0,0,0,25.79,0,0,5.16,1.72,0.57,3.72,0,1.72,7.45,0,11.46
MD012394,Piston,13.78,110.25,2097,SCS,5.84,5.85,22.97,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,2.2,0.55,23.69,0.83,6.61,0,1.38,4.68,5.79,1.1,0.55,1.1,0,0,0,24.52,0,0,3.31,4.13,0,1.93,0,1.93,7.71,0,7.99
31-KL,,18.75,115.87,3360,SCS,1.61,1.62,19,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,0.61,0,18.9,0.3,6.1,0,0.91,2.74,4.27,0.91,0,0.91,0,0,5.79,42.99,0.91,0,1.52,2.13,0,1.83,0,0,1.22,0,7.93
31-KL,,18.75,115.87,3360,SCS,1.65,1.66,19.25,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,1,1,15.92,1,6.97,0,0.5,1,6.47,0,0,0,0,0,4.48,38.31,1,0,3.48,8.46,0,1.99,0,0.5,1.99,0,5.97
31-KL,,18.75,115.87,3360,SCS,1.69,1.7,19.5,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,2.04,0.51,10.2,1.02,5.1,0,0,1.02,5.61,0,0,0.51,0,0,5.1,53.57,0,1.02,3.57,4.59,0,2.04,0,0,0.51,0,3.57
31-KL,,18.75,115.87,3360,SCS,1.73,1.74,19.75,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,1.58,0,11.99,0,5.36,0,1.26,5.05,5.05,2.21,0,1.26,0,0,4.42,44.16,0,0.32,4.73,1.58,0,0.63,0,0,2.84,0,7.57
31-KL,,18.75,115.87,3360,SCS,1.77,1.78,20,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,2.06,0.34,9.62,0.34,2.06,0.34,0.69,2.06,7.22,0.34,0.34,0,0,0,3.44,53.95,1.72,0,2.41,6.19,0,1.03,0,0.34,0.69,0,4.81
31-KL,,18.75,115.87,3360,SCS,1.81,1.82,20.25,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,0.49,0,10.73,0.98,3.9,0,0.98,0.98,7.8,0,0.49,0,0,0,2.44,52.2,0.49,0,0.49,10.24,0,0.49,0,0,0.49,0,6.83
31-KL,,18.75,115.87,3360,SCS,1.85,1.86,20.5,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,1.48,0,11.33,0.99,5.42,0,0,1.97,5.42,1.48,0,0,0,0,4.93,45.81,0,0,1.97,11.82,0,0,0,0,2.46,0,4.93
31-KL,,18.75,115.87,3360,SCS,1.89,1.9,20.75,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,0.57,0.57,10.92,0.57,2.87,0,1.72,2.87,10.92,1.15,0,0.57,0,0,2.87,39.08,0,0,2.87,11.49,0,0,0,0,2.3,0,8.62
31-KL,,18.75,115.87,3360,SCS,1.97,1.98,21.25,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,1.5,0.75,15.73,0,4.87,0,0.75,1.87,6.74,0.75,0.75,0,0,0,2.25,39.7,0.37,0.37,3.37,13.86,0,0.75,0,0.37,0.75,0,4.49
31-KL,,18.75,115.87,3360,SCS,2.01,2.02,21.5,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,1.29,1.29,10.32,1.29,3.23,0,0.65,1.94,3.23,1.29,0.65,0,0,0,3.87,40,0,0,2.58,16.13,0,1.29,0,1.29,3.87,0,5.81
31-KL,,18.75,115.87,3360,SCS,2.05,2.06,21.75,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,1.47,0.98,17.65,0,3.92,0,1.47,3.92,5.88,0.98,0,0,0,0,1.96,39.71,1.96,0,3.92,10.78,0,0.98,0,0.49,0.49,0,3.43
31-KL,,18.75,115.87,3360,SCS,2.09,2.1,22,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,1.75,0.88,12.28,0.88,6.58,0,1.32,1.75,3.07,0.88,0,0,0,0,4.82,38.16,1.32,0,4.39,13.16,0,1.75,0,0.44,0.44,0,6.14
31-KL,,18.75,115.87,3360,SCS,2.13,2.14,22.25,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,1.04,0.52,7.29,1.04,4.17,0.52,1.04,3.13,5.73,0.52,0,0,0,0,4.69,45.83,0,0,4.17,14.58,0.52,1.56,0,0.52,0,0,3.13
31-KL,,18.75,115.87,3360,SCS,2.17,2.18,22.5,,,,,"Chen et al., 1998. Paleoceanography","Huang, C.C. & Chen, M.T.",Jul-03,0,0.48,5.71,0.48,3.33,0,0.48,3.33,2.86,0.95,0,0,0,0,6.67,45.71,0,0,1.9,14.29,0.48,0.95,0,1.43,1.43,0,9.52
17938-2,,19.78,117.53,2840,SCS,3.65,3.66,19.17,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,0.3,0,10.24,1.2,5.12,0.3,0.6,3.31,6.33,0.3,0,2.41,0,0,0,51.81,0,0,2.11,6.63,0.3,0.3,0,0.3,0,0,8.43
17938-2,,19.78,117.53,2840,SCS,3.75,3.76,19.39,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,2.14,0.61,12.23,1.53,3.98,0,0.61,3.06,6.73,0.92,0,1.53,0,0,0.61,45.26,0.31,0,2.75,6.12,0,0,0,0.92,1.83,0,8.87
17938-2,,19.78,117.53,2840,SCS,3.85,3.86,19.55,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,2.15,0.62,15.08,0.92,4.92,0,1.23,6.15,7.08,0.62,0,1.85,0,0,0,48.31,0,0,1.54,3.69,0,0.31,0,0.92,0.62,0,4
17938-2,,19.78,117.53,2840,SCS,3.95,3.96,19.72,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,0.63,0.21,16.03,2.95,6.96,0,1.69,4.01,8.65,0.42,0.42,0.63,0,0,0.42,39.66,0,0,3.59,7.17,0,0.42,0,0.42,0,0,5.7
17938-2,,19.78,117.53,2840,SCS,4.05,4.06,19.88,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.97,0.25,15.48,2.46,1.47,0,1.23,3.44,4.42,0.74,0,0.25,0,0,0,49.63,0,0,2.21,5.65,0,0.74,0,0.25,1.72,0,8.11
17938-2,,19.78,117.53,2840,SCS,4.15,4.16,20.05,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,0.72,0.36,22.3,1.44,1.44,0,1.08,3.96,10.79,0.72,0,0.36,0,0,0.36,42.45,0,0,1.8,3.6,0,0.36,0,0.36,0.72,0,7.19
17938-2,,19.78,117.53,2840,SCS,4.25,4.26,20.21,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.55,0.22,22.96,2.87,2.87,0,0.66,3.53,9.49,1.1,0,0.44,0,0,0,38.41,0,0.22,3.75,0.22,0,0,0,1.55,1.77,0,8.39
17938-2,,19.78,117.53,2840,SCS,4.35,4.36,20.38,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,2.45,0,16.73,0,2.45,0,0.41,4.49,7.35,1.63,0,2.45,0,0,0,43.67,0,0.82,3.67,2.04,0,0,0,2.45,2.04,0,7.35
17938-2,,19.78,117.53,2840,SCS,4.45,4.46,20.55,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.18,0.24,13.92,0.47,3.77,0,1.42,2.12,4.01,0.24,0,2.59,0,0,0,56.37,0,0,0.71,3.77,0.24,0,0,0.47,1.18,0,7.31
17938-2,,19.78,117.53,2840,SCS,4.55,4.56,20.71,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.65,0,21.43,1.1,2.75,0,1.1,3.85,7.14,0.55,0,0.55,0,0,0.55,38.46,0,0,1.1,6.59,0,0,0,0,1.65,0,11.54
17938-2,,19.78,117.53,2840,SCS,4.65,4.66,20.88,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,3.86,0,17.48,0.77,7.71,0,2.31,3.6,5.4,0.26,0,0.26,0,0,0.26,38.82,0,0.51,0.77,1.29,0,0,0,0.51,2.31,0,13.88
17938-2,,19.78,117.53,2840,SCS,4.75,4.76,21.04,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,2.03,0,10.17,0.68,4.75,0,1.02,2.37,4.41,0.34,0,3.73,0,0,0.34,48.81,0,0.34,2.03,3.39,0,0.34,0,0.34,2.37,0,12.54
17938-2,,19.78,117.53,2840,SCS,4.85,4.86,21.21,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,0.37,1.49,11.94,1.12,7.09,0,1.49,2.24,5.6,1.49,0.37,1.12,0,0,0,19.4,0.37,0,1.49,20.52,0,5.22,0,0,2.99,0,15.67
17938-2,,19.78,117.53,2840,SCS,4.95,4.96,21.37,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.34,0.27,10.72,0.27,2.95,0,1.07,4.29,3.75,0.54,0,0.54,0,0,1.07,47.18,0.27,0,2.14,9.38,0,0,0,0.54,0.8,0,12.87
17938-2,,19.78,117.53,2840,SCS,5.05,5.06,21.54,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.37,0,16.67,0.55,4.92,0,1.37,3.55,6.01,0.27,0,2.46,0,0,1.37,50.55,0.27,0.82,1.37,0.55,0,0.55,0,0,1.64,0,5.74
17938-2,,19.78,117.53,2840,SCS,5.15,5.16,21.71,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.32,0,14.47,0.66,7.89,0,2.3,2.63,4.28,0.66,0,1.32,0,0,0.99,48.68,0,0,1.64,0.66,0,0.66,0,1.32,0.99,0,9.54
17938-2,,19.78,117.53,2840,SCS,5.25,5.26,21.87,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,2.61,0.2,13.65,0.6,6.02,0,3.01,2.21,4.22,0,0,0.8,0,0,0.8,48.39,0.6,0,1.61,5.22,0,2.01,0,0.6,0,0,7.43
17938-2,,19.78,117.53,2840,SCS,5.35,5.36,22.04,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.88,0.34,10.58,2.22,5.12,0,0.85,3.07,6.48,0.34,0,0.85,0,0,0.34,50.51,0.34,0,2.73,6.48,0.17,0.85,0,1.54,0.34,0,4.95
17938-2,,19.78,117.53,2840,SCS,5.45,5.46,22.2,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,0.41,0.82,13.27,1.02,5.71,0,4.08,3.06,13.06,0.61,0,1.63,0,0,1.02,42.86,0,0,0.61,0.61,0,0.2,0,0.2,0.82,0,10
17938-2,,19.78,117.53,2840,SCS,5.55,5.56,22.37,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.24,0.41,10.37,0.41,4.98,0,1.66,2.49,6.22,0,0,1.66,0,0,2.49,49.79,0,0,7.05,0,0,1.66,0,1.24,0.83,0,7.47
17938-2,,19.78,117.53,2840,SCS,5.6,5.61,22.45,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.02,0.09,11.58,0.56,6.39,0,1.3,2.87,7.78,0.37,0.09,0.37,0,0,0,54.03,0.09,0.19,2.22,0,0.09,1.76,0,0.46,0.56,0,8.16
17938-2,,19.78,117.53,2840,SCS,5.65,5.66,22.53,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,0.57,0,9.07,0.57,4.53,0,1.13,3.12,5.1,0.57,0,1.98,0,0,0.28,60.34,0,0,0.85,0.28,0.28,1.42,0,0.85,1.98,0,7.08
17938-2,,19.78,117.53,2840,SCS,5.75,5.76,22.7,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,1.11,0,12.2,0.44,7.32,0,1.11,2.44,5.99,0.22,0.22,0.22,0,0,0,55.21,0.44,0.44,1.55,0,0,0.22,0,0.67,1.55,0,8.65
17938-2,,19.78,117.53,2840,SCS,5.85,5.86,22.87,,,,,"Chen et al., 1999. Marine Geology","Huang, C.C. & Chen, M.T.",Jul-03,0.7,0.42,6.71,0.14,1.82,0,0.56,3.22,4.06,0.14,0,0.42,0,0,0.56,60.7,0.28,0.14,1.54,12.03,0,0.7,0,0.28,0.28,0,5.31
MD012416,Giant piston core,51.27,167.73,2317,"Pacific, NW",184.5,185.5,19,2,15,,,Kiefer et al. 2003 submitted to GEOLOGY,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,15.86,0,0,0,0,82.2,1.94,0,0,0,0,0,0,0,0,0,0,0,0
MD012416,Giant piston core,51.27,167.73,2317,"Pacific, NW",190.5,191.5,19.47,2,15,,,Kiefer et al. 2003 submitted to GEOLOGY,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,14.52,0,0,0,0,83.84,1.64,0,0,0,0,0,0,0,0,0,0,0,0
MD012416,Giant piston core,51.27,167.73,2317,"Pacific, NW",194.5,195.5,19.72,2,15,,,Kiefer et al. 2003 submitted to GEOLOGY,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,15.99,0,0,0,0,82.74,1.02,0,0,0,0,0,0,0,0,0,0,0,0.25
MD012416,Giant piston core,51.27,167.73,2317,"Pacific, NW",196.5,197.5,19.84,2,15,,,Kiefer et al. 2003 submitted to GEOLOGY,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,18.16,0,0,0,0,80.53,0.79,0,0,0,0,0,0,0,0,0,0,0,0.26
MD012416,Giant piston core,51.27,167.73,2317,"Pacific, NW",197.5,198.5,19.9,2,15,,,Kiefer et al. 2003 submitted to GEOLOGY,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,18.25,0,0,0,0,79.86,1.42,0,0,0,0,0,0,0,0,0,0,0,0.47
MD012416,Giant piston core,51.27,167.73,2317,"Pacific, NW",200.5,201.5,20.09,2,15,,,Kiefer et al. 2003 submitted to GEOLOGY,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,16,0,0,0,0,82.15,1.23,0,0,0,0,0,0,0,0,0,0,0,0.62
MD012416,Giant piston core,51.27,167.73,2317,"Pacific, NW",202.5,203.5,20.21,2,15,,,Kiefer et al. 2003 submitted to GEOLOGY,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,15.27,0,0,0,0,83.21,1.27,0,0,0,0,0,0,0,0,0,0,0,0.25
MD012416,Giant piston core,51.27,167.73,2317,"Pacific, NW",205.5,206.5,20.4,2,15,,,Kiefer et al. 2003 submitted to GEOLOGY,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,11.17,0,0,0,0,85.75,2.79,0,0,0,0,0,0,0,0,0.28,0,0,0
MD012416,Giant piston core,51.27,167.73,2317,"Pacific, NW",209.5,210.5,20.64,2,15,,,Kiefer et al. 2003 submitted to GEOLOGY,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,16.31,0,0,0,0,81.27,2.11,0,0,0,0,0,0,0,0,0,0,0,0.3
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",116,118,19.33,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,8.97,0,0,0,0,89.46,1.49,0,0,0,0,0,0,0,0,0.08,0,0,0
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",120,122,20.03,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,11.17,0,0,0,0,88.01,0.82,0,0,0,0,0,0,0,0,0,0,0,0
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",123,125,20.4,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,13.12,0,0,0,0,85.75,1.13,0,0,0,0,0,0,0,0,0,0,0,0
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",126,128,20.68,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,12.64,0,0,0,0,86.68,0.68,0,0,0,0,0,0,0,0,0,0,0,0
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",130,132,21.07,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,12.84,0,0,0,0.27,85.52,0.82,0,0,0,0,0,0,0,0,0,0,0,0.55
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",133,135,21.5,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,12.86,0,0,0,0,85.24,1.9,0,0,0,0,0,0,0,0,0,0,0,0
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",136,138,21.74,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,8.79,0.22,0,0,0,90.33,0.66,0,0,0,0,0,0,0,0,0,0,0,0
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",140,142,22.05,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,5.62,0,0,0,0,92.58,1.8,0,0,0,0,0,0,0,0,0,0,0,0
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",143,145,22.24,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,7.27,0,0,0,0,92.55,0.17,0,0,0,0,0,0,0,0,0,0,0,0
ODP Site 883D,Hydraulic piston core,51.2,167.77,2385,"Pacific, NW",145,147,22.37,2,9.5,,,Kiefer et al. (2001) Paleoceanography 14(3): 350-359,Thorsten Kiefer,25-Aug-03,0,0,0,0,0,0,0,0,8.82,0,0,0,0,89.37,1.58,0,0,0,0,0,0,0,0,0.23,0,0,0
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",169,,18.99105,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.01,0.68,25.18,0,5.98,0.19,1.54,1.35,2.99,2.03,0,3.09,3.28,0,2.51,23.35,0,0,4.44,2.03,2.8,2.12,0.58,0,1.16,0,2.12
DGKS9603,Piston core,28.15,127.27,1100,"Pacific, East China Sea",171,,19.16491,1,12,,,"Li et al. 2001, Paleo3, 176, 133-146",Thorsten Kiefer,25-Aug-03,1.26,0.78,24.07,0,6.21,0.24,1.65,1.55,3.2,1.84,0,3.01,3.49,0,2.13,22.71,0,0,4.61,2.13,3.01,2.23,0.39,0,1.16,0,2.23
