Site,Device,Lat,Lon,Depth,Ocean,Resolution_rough,Count,Frac,Data link,Reference DOI,range min (ka),range max (ka),Plankton,comment on age model
108-658C,Drilling/drill rig,20.7492,-18.5808,-2273,North Atlantic,0.63,#,>150,personal communication,10.1002/jqs.970,1,36,planktonic foraminifera,"PDV (14C, iso)"
161-977A,Drilling/drill rig,36.0317,-1.95528,-1984,Mediterranean,0.51,#,>150,https://doi.pangaea.de/10.1594/PANGAEA.678285,10.1016/S0377-8398(02)00160-3,0,69,planktonic foraminifera,"PDV (14C, iso; tie points after Cacho et al., 1999)"
162-980,Drilling/drill rig,55.484933,-14.702267,-2180,North Atlantic,0.16,%,>150,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/benway2010/benway2010-fauna.txt,10.1016/j.quascirev.2010.08.013,0,21,planktonic foraminifera,"PDV (14C, iso)"
CH69-K09,Gravity corer,41.76,-47.35,-4100,North Atlantic,0.2,%,NA,https://doi.pangaea.de/10.1594/PANGAEA.881450,10.1029/GM112p0077,0,57,planktonic foraminifera,from PALMOD 130k synthesis
GIK15612-2,Piston corer,44.36,-26.5433,-3050,North Atlantic,0.84,%,>150,https://doi.pangaea.de/10.1594/PANGAEA.202139,10.2312/reports-gpi.1998.90,2,165,planktonic foraminifera,from PALMOD 130k synthesis
GIK17730-4,Kasten corer,72.1117,7.3883,-2749,North Atlantic,0.8,%,>150,https://doi.pangaea.de/10.1594/PANGAEA.134132,10.2312/reports-gpi.1995.73,2,41,planktonic foraminifera,PDV (14C)
M35003-4,Gravity corer,12.09,-61.2433,-1299,North Atlantic,0.29,%,>150,https://doi.pangaea.de/10.1594/PANGAEA.55756,"H¸ls, Matthias (2000): Millennial-scale SST variability as inferred from planktonic foraminifera sensus counts in the western subtropical Atlantic. GEOMAR Report, GEOMAR Research Center for Marine Geosciences, Christian Albrechts University in Kiel, 95, 118 pp (PhD Thesis)",0,55,planktonic foraminifera,from PALMOD 130k synthesis
MD95-2040,Calypso corer,40.5818,-9.8612,-2465,North Atlantic,0.26,#,>150,https://doi.pangaea.de/10.1594/PANGAEA.66714,10.1016/S0025-3227(03)00046-X,0,193,planktonic foraminifera,from PALMOD 130k synthesis
MD95-2041,Calypso corer,37.833333,-9.510833,-1123,North Atlantic,0.21,%,>150,https://doi.pangaea.de/10.1594/PANGAEA.737130,10.1029/2010GM001021,2,96,planktonic foraminifera,"PDV (14C, iso)"
MD95-2042,Calypso corer,37.799833,-10.1665,-3146,North Atlantic,0.26,#,>150,https://doi.org/10.1594/PANGAEA.946601 ,10.1177/0959683614530439,0,60,planktonic foraminifera,"PDV (14C, iso)"
MD95-2043,Calypso corer,36.143,-2.621,-1841,Mediterranean,0.32,#,>150,https://doi.pangaea.de/10.1594/PANGAEA.678286,10.1016/S0377-8398(02)00160-3,1,52,planktonic foraminifera,from PALMOD 130k synthesis
MD99-2284,Calypso corer,62.374667,-0.980167,-1500,North Atlantic,0.05,%,>150,https://doi.pangaea.de/10.1594/PANGAEA.846924,10.1016/j.quascirev.2014.06.028,1,26,planktonic foraminifera,PDV (14C)
MD99-2285,Calypso corer,62.6938,-3.5723,-885,North Atlantic,0.35,%,>150,https://onlinelibrary.wiley.com/doi/full/10.1002/jqs.2965,10.1002/jqs.2965,2,30,planktonic foraminifera,PDV (14C)
MD99-2339,Calypso corer,35.8855,-7.52783,-1177,North Atlantic,0.16,%,>150,https://doi.pangaea.de/10.1594/PANGAEA.733102,10.1029/2009GC002398 (only N. pachyderma published),0,33,planktonic foraminifera,from PALMOD 130k synthesis
RC24-16,Piston corer,-5.038,-10.19,-3543,South Atlantic,0.94,%,NA,https://doi.pangaea.de/10.1594/PANGAEA.61066,10.1029/1999PA900012,0,236,planktonic foraminifera,PDV (Iso)
SU90-I03,MultiCorer,51.878333,-39.781667,-2970,North Atlantic,0.97,%,>150,https://doi.pangaea.de/10.1594/PANGAEA.134150,10.2312/reports-gpi.1995.73,0,30,planktonic foraminifera,PDV (Iso)
SU92-03,Piston corer,43.1958,-10.113,-3005,North Atlantic,0.73,%,150-2000,https://doi.pangaea.de/10.1594/PANGAEA.743086,10.1016/j.quascirev.2009.11.013,1,152,planktonic foraminifera,"PDV (14C, iso)"
V22-222,Piston corer,28.933,-43.65,-3197,North Atlantic,0.63,%,NA,https://doi.pangaea.de/10.1594/PANGAEA.355340,"Mix, Alan C (1986): Late Quaternary paleoceanography of the Atlantic Ocean: Foraminiferal faunal and stable-isotopic evidence. PhD Thesis, Columbia University, New York, 321 pp",2,21,planktonic foraminifera,PDV (Iso)
V25-59,Piston corer,1.367,-33.48,-3824,North Atlantic,0.66,%,NA,https://doi.pangaea.de/10.1594/PANGAEA.355343,"Mix, Alan C (1986): Late Quaternary paleoceanography of the Atlantic Ocean: Foraminiferal faunal and stable-isotopic evidence. PhD Thesis, Columbia University, New York, 321 pp",2,23,planktonic foraminifera,from PALMOD 130k synthesis
V25-75,Piston corer,8.583,-53.17,-2743,North Atlantic,0.71,%,NA,https://doi.pangaea.de/10.1594/PANGAEA.355345,"Mix, Alan C (1986): Late Quaternary paleoceanography of the Atlantic Ocean: Foraminiferal faunal and stable-isotopic evidence. PhD Thesis, Columbia University, New York, 321 pp",0,25,planktonic foraminifera,"PDV (14C, iso)"
V28-14,Piston corer,64.783,-29.57,-1855,North Atlantic,1.4,#,NA,https://doi.pangaea.de/10.1594/PANGAEA.727379,"CLIMAP Project Members (1981): Seasonal reconstruction of the earths surface at the last glacial maximum. Geological Society of America, Map and Chart Series, 36, 18 pp, https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-2516.html",0,46,planktonic foraminifera,from PALMOD 130k synthesis
V30-36,Piston corer,5.35,-27.32,-4245,South Atlantic,0.93,%,NA,https://doi.pangaea.de/10.1594/PANGAEA.61069,10.1029/1999PA900012,2,175,planktonic foraminifera,"PDV (14C, iso)"
V30-40,Piston corer,-0.2,-23.15,-3706,South Atlantic,1.02,%,NA,https://doi.pangaea.de/10.1594/PANGAEA.61070,10.1029/1999PA900012,0,258,planktonic foraminifera,"PDV (14C, iso)"
V30-49,Piston corer,18.433,-21.08,-3093,North Atlantic,1.08,%,NA,https://doi.pangaea.de/10.1594/PANGAEA.355350,"Mix, Alan C (1986): Late Quaternary paleoceanography of the Atlantic Ocean: Foraminiferal faunal and stable-isotopic evidence. PhD Thesis, Columbia University, New York, 321 pp",0,28,planktonic foraminifera,"PDV (14C, iso)"
V32-8,Piston corer,34.78,-32.42,-3252,North Atlantic,0.84,%,NA,https://doi.pangaea.de/10.1594/PANGAEA.355352,"Mix, Alan C (1986): Late Quaternary paleoceanography of the Atlantic Ocean: Foraminiferal faunal and stable-isotopic evidence. PhD Thesis, Columbia University, New York, 321 pp",2,23,planktonic foraminifera,PDV (Iso)