Event,Latitude,Longitude,Elevation [m],Depth [m],Sample comment,O. universa [#],G. conglobatus [#],G. ruber p [#],G. ruber w [#],G. ruber [#] (sum of G. ruber pink and G. r...),G. tenellus [#],G. sacculifer wo sac [#],G. sacculifer sac [#],G. sacculifer [#] (sum of G. sacculifer no sac a...),S. dehiscens [#],G. adamsi [#],G. aequilateralis [#],G. calida [#],G. bulloides [#],G. falconensis [#],G. digitata [#],G. rubescens [#],G. humilis [#],G. quinqueloba [#],N. pachyderma s [#],N. pachyderma d [#],G. dutertrei [#],G. conglomerata [#],G. hexagona [#],P. obliquiloculata [#],G. inflata [#],G. truncatulinoides s [#],G. truncatulinoides d [#],G. crassaformis [#],G. pachyderma [#],G. hirsuta [#],G. scitula [#],G. anfracta [#],G. menardii [#],G. tumida [#],G. tumida flexuosa [#],"G. menardii [#] (sum of G. menardii, G. tumida...)",C. nitida [#],G. glutinata [#],G. iota [#],G. bradyi [#],G. pumilio [#],H. pelagica [#],H. digitata [#],Foram plankt oth [#]
RC17-126,7.28,72.805,-1743,0,,1,0,0,87,87,10,13,11,24,3,0,12,19,43,1,3,13,0,0,0,0,28,5,12,19,0,0,0,0,0,0,2,0,16,0,0,16,2,78,0,0,0,0,0,0
RC17-98,-13.22,65.617,-3409,0.53,,5,7,,,78,3,,,22,0,0,11,7,10,3,0,7,0,0,0,2,29,1,1,5,0,0,1,0,1,2,4,,12,21,0,12,0,68,,,,,,
RE009-7,59.6532,-22.77,-2468,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,113,1,0,0,0,22,25,104,0,0,0,0,12,0,0,0,43,1,3,0,0,0,0,0,0,79,0,0,0,0,0,5
SP009-003,53.867,-21.1328,-2743,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,13,32,190,3,0,0,0,71,0,6,0,111,0,5,0,0,0,0,0,0,44,0,0,0,0,0,11
SP010-005,63.4832,-0.0667,-2012,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,138,63,0,0,0,0,2,1,0,0,60,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2
V02-9,42.467,-54.9,-4702,0,,1,8,0,4,4,0,0,0,0,0,0,0,0,18,2,1,0,0,10,34,103,7,0,0,1,99,0,1,0,124,0,2,0,3,0,0,3,0,5,0,0,0,0,0,10
V03-128,23.767,-92.47,-3590,0,,7,3,37,132,169,0,34,10,44,0,0,0,8,7,0,0,2,0,0,0,2,10,0,0,20,0,0,28,1,0,0,0,0,21,2,0,23,0,12,0,0,0,0,0,5
V04-12,36.8498,-21.017,-4500,0,,6,3,1,65,66,3,26,9,35,0,0,9,12,51,96,0,1,1,4,0,24,0,0,0,1,77,18,24,2,15,15,11,0,0,0,0,0,0,41,0,0,0,0,0,3
V05-1,32.6,-69.5,-5323,0,,2,4,0,91,91,1,10,2,12,0,0,6,1,66,13,0,0,2,0,0,2,8,0,0,4,81,24,3,0,1,28,0,0,4,6,0,10,2,0,0,0,0,0,0,13
V05-31,32.283,-65.12,-1597,0,,3,4,8,71,79,8,7,0,7,0,0,9,9,7,63,0,15,1,0,0,3,5,0,0,1,25,23,8,0,1,10,0,0,1,1,0,2,0,27,0,0,0,0,0,9
V05-40,32.217,-64.72,-1953,0,,2,0,9,107,116,11,4,0,4,0,0,28,10,25,62,0,6,1,0,0,1,0,0,0,2,8,22,3,0,1,16,2,0,0,0,0,0,0,32,0,0,0,0,0,12
V06-5,17.567,-63.57,-190,0,,0,0,46,194,240,8,39,2,41,0,0,3,0,0,0,0,61,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,7,0,0,7,0,26,0,0,0,0,0,27
V07-13,29.283,-79.92,-452,0,,10,2,26,133,159,3,27,3,30,0,0,69,23,8,3,4,6,0,0,0,0,28,0,0,0,0,0,2,1,0,0,2,2,22,0,0,22,3,139,0,0,0,1,0,20
V07-42,38.917,-57.13,-5260,0,,4,0,2,30,32,0,2,2,4,0,0,2,0,6,0,1,0,0,0,5,65,29,0,0,19,75,6,4,1,68,8,0,0,12,12,0,24,0,6,0,0,0,0,0,2
V07-53,36.9,-54.03,-5427,0,,1,1,0,48,48,0,1,0,1,0,0,0,0,52,2,2,1,0,0,1,18,37,0,0,12,139,21,2,0,16,19,0,0,6,5,0,11,0,0,0,0,0,0,0,22
V07-67,34.667,-61.45,-4308,0,,3,2,2,89,91,1,7,8,15,0,0,13,2,55,31,1,1,2,0,0,6,18,0,0,4,35,50,4,0,2,33,2,0,6,0,0,6,0,34,0,0,0,0,0,11
V07-68,40.767,-64.6,-4133,0,,2,4,0,4,4,0,2,0,2,0,0,0,0,6,4,0,0,0,0,22,115,36,0,0,12,84,1,0,1,88,2,0,0,16,3,0,19,0,10,0,0,0,0,0,11
V08-7,12.4,-77.77,-3823,0,,11,7,11,89,100,0,57,26,83,1,0,14,0,0,0,0,0,0,0,0,0,52,0,0,14,0,1,0,1,0,0,0,0,21,35,0,56,0,10,0,0,0,0,0,1
V09-31,8.233,-37.87,-4204,0,,2,2,22,136,158,1,87,35,122,0,0,25,0,1,2,1,4,0,0,0,0,11,0,0,1,0,0,2,1,0,0,1,0,8,0,0,8,1,29,0,0,0,0,0,11
V10-80,31.383,-11.62,-2550,0,,4,0,19,73,92,3,28,15,43,0,0,10,13,74,88,0,5,2,0,2,22,0,0,0,12,35,18,11,4,27,16,2,0,0,0,0,0,0,20,0,0,0,0,0,10
V10-88,22.967,-38.2,-4971,0,,1,20,1,357,358,0,28,22,50,0,0,9,1,1,4,3,0,0,0,0,0,2,0,0,0,19,5,8,2,0,0,0,0,5,6,0,11,0,5,0,0,0,0,0,3
V10-89,23.033,-43.8,-3523,0,,3,1,29,126,155,27,10,7,17,0,0,16,3,0,7,0,22,0,0,0,0,1,0,0,0,2,7,9,1,0,0,2,0,0,0,0,0,0,35,0,0,0,0,0,7
V10-98,31.433,-64.17,-4299,0,,2,4,11,97,108,8,10,3,13,0,0,9,2,26,30,0,5,1,0,2,6,3,0,0,0,60,19,6,3,9,13,1,0,3,0,0,3,1,27,0,0,0,0,0,9
V12-122,17,-74.4,-2800,0,,9,1,42,103,145,1,43,23,66,0,0,8,6,0,0,0,9,0,4,0,0,10,0,0,0,0,0,2,4,1,1,2,0,17,9,0,26,1,35,0,0,0,0,0,2
V12-4,24.283,-53.07,-5009,0,,5,5,17,376,393,0,18,13,31,0,0,9,3,5,0,1,0,0,0,0,0,1,0,0,0,4,5,4,1,0,1,0,0,2,0,0,2,5,6,0,0,0,0,0,0
V12-66,-22.98,7.017,-2760,0,,11,0,0,29,29,6,7,2,9,0,0,2,11,10,34,0,2,0,0,5,33,1,0,0,0,69,9,15,1,53,2,7,0,14,0,0,14,0,15,0,0,0,0,0,12
V12-80,1.75,-16.05,-4918,0,,10,2,1,52,53,0,127,60,187,10,0,27,1,1,1,5,0,0,0,0,0,77,0,0,54,10,0,2,8,7,0,1,0,88,25,0,113,0,10,0,0,0,0,0,7
V12-99,10.7,-65.2,-1020,0,,4,0,20,51,71,1,4,1,5,0,0,18,18,131,0,0,3,0,0,0,0,46,0,0,2,0,0,2,30,0,0,0,0,15,1,0,16,0,53,0,0,0,0,0,9
V14-100,3.867,65.517,-3682,0,,0,4,0,51,51,1,20,8,28,0,0,12,8,7,0,1,0,0,0,0,0,10,9,5,12,0,0,0,2,2,0,0,0,32,2,0,34,0,28,0,0,0,0,0,0
V14-103,11.433,56.233,-4232,0,,0,0,0,11,11,0,11,0,11,0,0,3,2,11,2,0,0,0,0,0,0,22,0,2,11,0,0,0,0,2,0,1,0,54,29,0,83,0,11,0,0,0,0,0,0
V14-104,13.433,53.45,-2670,0,,0,0,0,33,33,1,3,4,7,0,0,0,0,29,0,0,5,0,1,0,0,11,0,2,10,0,0,0,0,0,0,0,0,18,0,0,18,0,60,0,0,0,0,0,5
V14-105,14.3,51,-2120,0,,0,0,0,34,34,0,6,3,9,0,0,2,4,46,1,1,4,0,1,1,0,10,0,2,0,1,0,0,0,1,0,1,0,55,0,0,55,0,82,0,0,0,0,0,0
V14-106,12.867,48.4,-2144,0,,0,0,0,64,64,1,5,4,9,0,0,5,5,48,0,0,6,0,0,0,0,7,0,0,3,0,0,0,0,0,0,2,0,58,0,0,58,0,103,0,0,0,0,0,0
V14-107,11.85,46.75,-1608,0,,0,0,0,40,40,0,6,2,8,0,0,6,2,49,1,2,2,0,0,0,0,9,0,5,2,0,0,0,0,0,0,3,0,63,0,0,63,0,79,0,0,0,0,0,0
V14-108,12.617,45.633,-1176,0,,1,0,0,48,48,1,5,0,5,0,0,1,7,57,0,0,1,0,2,0,0,5,0,1,1,0,0,0,0,0,0,0,0,48,0,0,48,0,111,0,0,0,0,0,0
V14-4,15.483,-40.52,-4473,0,,2,6,43,114,157,5,32,17,49,0,0,21,3,0,3,2,4,0,0,0,0,4,0,1,0,0,1,6,0,1,0,0,0,7,5,0,12,0,25,0,0,0,0,0,8
V14-5,0.85,-32.85,-3255,0,,0,0,12,165,177,5,58,18,76,2,0,13,2,0,4,0,6,0,0,0,0,4,0,0,4,1,0,0,0,0,0,3,0,15,3,0,18,0,42,0,0,0,0,0,8
V14-67,-39.2,13.5,-3016,0,,0,0,0,7,7,0,1,0,1,0,0,4,6,63,36,0,1,0,8,3,33,8,0,1,0,93,23,2,0,27,1,0,0,6,0,0,6,0,17,0,0,0,0,0,4
V14-69C,-35.88,15.917,-4870,0,,0,0,0,1,1,0,0,0,0,0,0,1,0,22,0,0,0,0,0,5,48,8,0,0,1,170,5,0,0,29,25,0,0,0,0,0,0,0,2,0,0,0,0,0,3
V14-95,-4.3,64.817,-4513,0,,0,1,0,18,18,0,12,0,12,0,0,1,1,3,0,4,0,0,0,2,2,34,1,0,4,2,1,0,0,1,2,0,0,86,8,0,94,0,1,0,0,0,0,0,0
V14-96,-2.833,66.3,-4135,0,,2,6,0,7,7,0,6,1,7,1,0,6,0,1,0,3,0,0,0,1,0,42,11,1,23,1,0,3,0,12,0,0,0,139,16,0,155,0,1,0,0,0,0,0,0
V14-98,-0.633,69.45,-3893,0,,1,4,0,17,17,1,10,5,15,0,0,14,2,5,0,0,0,0,0,2,0,46,6,1,13,0,0,2,0,6,0,0,0,73,7,0,80,0,8,0,0,0,0,0,0
V16-200,1.967,-37.07,-4093,0,,3,0,22,203,225,2,83,27,110,0,0,21,0,0,0,1,3,0,0,0,0,7,1,0,9,0,0,2,0,0,0,1,0,30,7,0,37,0,31,0,0,0,0,0,9
V16-206,23.333,-46.48,-3733,0,,2,3,10,179,189,23,12,6,18,0,0,12,2,0,11,0,14,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,2,31,0,0,0,0,0,10
V16-209,30,-51.87,-4673,0,,4,1,7,280,287,0,15,4,19,0,0,14,2,12,9,2,1,1,1,0,4,5,0,0,1,41,29,8,1,2,12,1,0,0,0,0,0,0,25,0,0,0,0,0,8
V16-21,17.267,-48.42,-3975,0,,1,4,37,174,211,9,38,15,53,0,0,15,2,0,3,1,7,0,0,0,0,3,0,0,1,0,0,3,2,0,0,0,0,2,1,0,3,1,42,0,0,0,0,0,10
V16-227,60.033,-50.83,-3305,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,310,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
V16-23,13.25,-40.67,-4886,0,,5,15,7,102,109,1,91,34,125,0,0,23,1,0,2,1,4,0,0,0,1,23,0,0,8,0,0,6,9,3,0,0,0,9,8,0,17,1,13,0,0,0,0,0,15
V16-48,-33.2,15,-3680,0,,1,0,0,11,11,0,1,0,1,0,0,3,8,15,18,1,0,0,0,4,28,14,0,0,0,152,17,1,0,39,12,3,0,0,0,0,0,0,6,0,0,0,0,0,0
V16-50,-33.35,16.433,-2376,0,,1,0,0,10,10,1,2,3,5,0,0,0,5,5,27,0,0,0,0,3,20,5,0,0,1,182,12,1,0,27,11,2,0,0,0,0,0,0,18,0,0,0,0,0,0
V16-50,-33.35,16.433,-2376,0,x,0,0,0,0,8,0,3,0,3,0,0,1,3,13,11,1,0,0,0,6,16,14,0,0,0,121,9,2,0,30,3,1,0,0,0,0,0,0,8,0,0,0,0,0,10
V16-64,-46.02,44.367,-2202,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,11,109,9,0,0,0,0,50,7,0,0,5,0,0,0,0,0,0,0,0,48,0,0,0,0,0,2
V16-65,-45,45.767,-1618,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,9,97,12,1,0,0,0,52,8,0,0,17,0,1,0,0,0,0,0,0,47,0,0,0,0,0,1
V16-67,-37.15,43.5,-3643,0,,6,0,0,9,9,0,4,1,5,0,0,10,0,30,6,1,0,0,1,2,53,3,0,0,0,104,4,1,0,39,2,1,0,1,0,0,1,0,6,0,0,0,0,0,8
V16-84,-29.73,79.567,-3938,0,,13,4,0,115,115,0,8,4,12,1,0,23,10,30,15,9,0,0,0,6,14,0,0,0,0,124,33,33,1,15,8,4,0,1,0,0,1,2,9,0,0,0,0,0,0
V16-86,-31.05,82.85,-4001,0,,12,1,0,42,42,0,2,0,2,0,0,4,2,7,5,3,0,0,0,3,35,0,0,0,0,151,23,9,0,12,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0
V16-87,-31.63,83.8,-4316,0,,4,3,0,106,106,0,3,0,3,1,0,16,8,30,7,9,0,0,1,5,37,3,0,0,0,193,48,17,0,18,11,1,0,0,0,0,0,0,6,0,0,0,0,0,0
V16-88,-32.38,84.85,-2855,0,,2,0,0,36,36,0,4,1,5,1,0,2,8,25,8,4,0,0,0,6,33,1,0,0,0,98,21,5,0,29,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0
V16-93,-30.2,91.717,-2769,0,,6,1,0,92,92,7,12,1,13,1,0,3,15,42,47,2,2,0,0,3,17,2,0,0,0,65,43,6,0,6,8,12,0,0,0,0,0,0,0,0,0,0,0,0,2
V16-94,-28.883,92.833,-3878,0,,6,6,0,105,105,0,5,1,6,1,0,17,2,22,15,8,0,0,1,1,18,2,1,0,0,98,37,28,0,0,9,1,0,3,0,0,3,0,1,0,0,0,0,0,0
V16-95,-28.017,95.183,-4071,0,,1,3,0,60,60,0,0,0,5,0,0,7,6,4,2,2,0,0,0,1,7,1,0,0,0,126,21,31,0,2,13,0,0,2,0,0,2,1,0,0,0,0,0,0,0
V16-96,-31.53,99.25,-2417,0,,4,0,0,74,74,1,9,2,11,0,0,11,6,60,64,4,13,0,4,2,18,1,0,1,0,75,50,8,0,19,1,6,0,1,0,0,1,0,15,0,0,0,0,0,0
V17-1,28.483,-65.05,-5024,0,,8,22,4,313,317,0,8,10,18,0,0,12,1,4,1,2,0,1,2,0,2,3,0,0,0,34,26,13,0,2,9,0,0,0,0,0,0,0,13,0,0,0,0,0,5
V17-158,12.383,-18.92,-4358,0,,4,0,29,23,52,0,31,21,52,1,0,6,0,1,4,11,2,0,0,2,14,106,0,0,5,35,1,0,9,18,0,3,0,75,60,0,135,1,15,0,0,0,0,0,9
V17-162,24.967,-28.933,-5480,0,,1,11,0,175,175,0,31,12,43,9,0,2,1,3,1,1,0,0,0,0,3,15,0,0,2,76,14,7,20,7,0,0,0,49,26,0,75,0,6,0,0,0,0,0,14
V17-163,27.967,-34.133,-5132,0,,0,7,0,289,289,0,12,5,17,0,0,6,1,3,5,1,0,2,0,0,2,0,0,0,1,34,20,12,4,0,2,0,0,2,0,0,2,0,17,0,0,0,0,0,21
V17-164,29.617,-36.92,-4433,0,,15,5,2,163,165,2,4,6,10,0,0,15,2,2,53,2,2,0,0,0,6,3,0,0,0,83,22,28,1,6,3,3,0,0,0,0,0,0,23,0,0,0,0,0,9
V17-192,58.367,-47.733,-3160,0,,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,378,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
V17-196,60.733,-57.83,-2818,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,374,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V17-39,11.75,-80.43,-3435,1,,9,7,0,181,181,8,20,2,22,0,0,25,0,3,2,0,4,0,0,0,0,6,0,0,0,9,0,13,2,0,1,1,0,0,0,0,0,1,39,0,0,0,0,0,2
V18-16,13.733,-51.12,-4931,0,,8,42,1,32,33,0,33,22,55,15,0,22,0,4,0,9,0,0,1,0,2,66,0,0,52,2,1,4,7,2,0,0,0,22,49,0,71,0,16,0,0,0,0,0,8
V18-183,-33.23,15.983,-2807,0,,1,0,0,14,14,0,1,1,2,0,0,2,4,33,7,0,0,0,0,2,9,12,0,0,1,120,14,1,0,29,8,3,0,0,0,0,0,0,19,0,0,0,0,0,0
V18-186,-38.98,29.933,-4205,0,,1,0,0,1,1,0,0,0,0,0,0,0,2,17,0,0,0,0,0,2,86,6,0,0,0,152,12,0,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
V18-188,-37.63,37.867,-4960,0,,1,0,0,3,3,0,0,0,2,0,0,1,0,29,0,0,0,0,0,0,66,1,1,0,0,212,11,0,0,24,12,1,0,0,2,0,2,0,2,0,0,0,0,0,0
V18-189,-36.12,41.85,-4923,0,,2,1,0,0,0,0,1,1,2,0,0,2,4,5,0,2,0,0,0,0,10,7,0,0,1,271,4,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0
V18-200,-20.58,63.533,-3305,0,,10,2,0,0,207,2,0,0,35,1,0,9,7,10,8,0,6,0,0,1,2,10,0,0,0,3,0,5,0,1,0,5,0,0,0,0,6,1,34,0,0,0,0,1,1
V18-21,4.233,-47.75,-2374,0,,1,2,13,183,196,0,56,25,81,2,0,14,0,0,1,0,0,0,0,0,0,10,0,0,13,0,0,0,0,0,0,1,0,39,5,0,44,0,11,0,0,0,0,0,3
V18-215,-30.57,114.45,-1161,0,,1,2,0,89,89,4,19,2,21,0,0,5,8,14,27,0,3,0,0,0,0,69,1,1,1,22,6,0,4,0,1,5,0,32,1,0,33,0,46,0,0,0,0,0,5
V18-222,-38.57,140.62,-1904,0,,2,0,0,8,0,0,0,0,0,0,0,0,1,52,13,0,0,4,0,3,10,3,0,0,0,82,23,1,0,20,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3
V18-373,38.75,-67.55,-4202,0,,11,9,1,6,7,0,14,15,29,0,0,6,1,6,0,0,0,1,0,3,23,39,0,0,30,144,6,4,0,16,3,0,0,14,6,0,20,0,5,0,0,0,0,0,1
V19-183,8.117,62.783,-4451,0,,0,4,0,106,106,2,34,8,42,0,0,17,1,36,6,0,0,0,0,0,1,23,5,7,16,0,0,0,1,0,0,1,0,24,8,2,34,0,84,0,0,0,0,0,5
V19-184,7.433,61.067,-3471,0,,2,3,0,33,33,0,12,1,13,0,0,10,7,19,1,0,0,0,0,0,2,22,3,2,13,0,0,0,9,1,0,3,0,34,5,0,39,0,23,0,0,0,0,0,3
V19-200,-4.217,41.55,-2692,0,,5,6,0,124,124,4,24,5,29,1,0,24,3,37,4,2,6,0,0,0,2,37,0,13,10,0,0,0,3,1,1,2,0,17,5,0,22,1,49,0,0,0,0,0,1
V19-209,-19.92,41.6,-2924,0,,7,3,0,121,122,1,44,18,62,0,0,18,6,7,0,0,0,0,0,0,11,41,0,2,9,25,2,5,11,12,0,5,0,21,2,0,23,0,6,0,0,0,0,0,7
V19-240,-30.58,13.283,-3103,0,,1,0,0,14,14,0,1,1,2,0,0,1,1,13,36,1,0,0,0,0,18,10,0,0,0,157,14,1,0,54,7,2,0,0,0,0,0,0,1,0,0,0,0,0,5
V19-242,-29.52,9.583,-4881,0,,2,0,0,6,6,0,0,1,1,0,0,2,0,2,3,1,0,0,0,4,98,2,0,0,0,195,1,0,0,75,20,0,0,0,0,0,0,0,1,0,0,0,0,0,3
V19-256,-21.83,10.8,-3345,0,,32,0,0,4,4,1,2,1,3,0,0,1,2,99,16,0,0,0,0,15,200,0,0,0,0,103,3,2,0,455,0,4,0,0,0,0,0,0,24,1,0,0,0,0,13
V19-291,2,-5.25,-4956,0.8,,6,1,33,139,172,0,27,4,31,0,0,6,0,23,0,0,1,0,0,1,12,54,0,0,1,18,0,2,8,64,0,2,0,0,0,0,0,0,22,0,0,0,0,0,3
V19-296,1.417,-9.083,-5017,0,,6,0,0,13,13,0,10,2,12,7,0,3,4,3,0,3,0,0,0,3,16,140,0,0,41,1,0,0,32,0,0,0,0,103,65,0,168,0,2,0,0,0,0,0,0
V19-298,3.65,-15.05,-4792,0,,5,2,0,7,7,0,3,8,11,15,0,3,0,0,0,0,0,0,0,0,1,77,0,0,43,2,0,0,9,1,1,0,0,75,103,0,178,0,1,0,0,0,0,0,2
V19-308,29.017,-41.4,-3197,0,,6,4,6,221,227,19,5,4,9,0,0,35,7,1,25,1,4,1,0,0,0,0,0,0,2,19,16,11,0,0,10,1,0,1,0,0,1,0,40,0,0,0,0,0,12
V19-310,33.3,-48.27,-4607,0,,4,3,33,155,188,2,6,5,11,0,0,9,4,40,48,0,0,2,0,0,16,6,0,0,3,142,40,9,2,9,21,1,0,3,0,0,3,0,48,0,0,0,0,0,12
V20-171,-21.98,68.483,-2833,0,,2,11,0,94,94,1,29,6,35,0,0,12,5,1,0,1,0,0,0,2,1,5,1,0,5,5,7,16,2,0,1,2,0,13,3,0,16,0,8,0,0,0,0,0,3
V20-174,-22.13,68.767,-2714,0,,1,9,4,83,87,3,17,0,17,0,1,9,3,3,1,0,9,0,0,0,0,4,0,0,2,6,2,6,0,0,0,1,0,3,1,0,4,2,14,0,0,0,0,2,0
V20-177,-23.05,64.9,-4513,0,,7,7,0,126,126,3,14,4,18,0,0,17,5,9,3,8,0,0,1,0,0,4,0,0,0,15,2,9,0,0,0,3,0,2,1,0,3,1,30,0,0,0,0,0,2
V20-233,2.1,-35.6,-3884,0,,2,1,18,126,144,2,58,30,88,0,0,12,0,0,1,1,0,0,0,0,0,5,0,0,12,0,0,3,0,0,0,0,0,23,10,0,33,0,14,0,0,0,0,0,2
V20-234,5.317,-33.03,-3133,0,,2,0,19,98,117,4,67,24,91,1,0,22,1,0,0,1,11,0,0,0,3,12,0,0,1,0,0,2,2,2,0,5,0,12,2,0,14,0,49,0,0,0,0,0,14
V20-235,8.467,-30.13,-5242,0,,4,7,1,17,18,2,21,12,33,24,0,5,1,2,0,6,0,0,0,1,0,151,0,0,66,3,0,5,26,2,0,0,0,31,222,0,253,0,6,0,0,0,0,0,8
V20-253,38.283,-68.53,-4889,0,,12,5,0,8,8,0,1,2,3,0,0,1,0,21,2,0,0,0,1,5,144,49,0,0,5,165,0,2,1,123,1,0,0,18,8,0,26,0,7,0,0,0,0,0,5
V20-7,11.533,-60.52,-1018,0,,9,0,49,118,167,0,52,13,65,0,0,9,1,0,0,1,0,0,0,0,0,23,0,0,2,1,0,0,0,0,0,0,0,8,1,0,9,0,7,0,0,0,0,0,2
V21-222,14.45,-77.23,-4060,0,,11,1,0,0,164,0,0,0,92,3,0,19,0,1,1,1,0,0,0,0,0,36,0,0,5,0,2,3,1,0,0,0,0,37,11,0,48,1,18,0,0,0,0,0,2
V22-106,-46.13,-10.9,-3037,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,80,3,0,0,0,43,372,8,0,0,0,0,53,2,0,0,5,0,0,0,0,0,0,0,0,24,0,0,0,0,0,16
V22-107,-44.47,-6.633,-3898,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,194,4,0,0,0,9,55,4,0,0,0,0,73,24,2,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,14
V22-108,-43.18,-3.25,-4171,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,9,22,10,0,0,0,0,121,36,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3
V22-186,3.383,-20.12,-4471,0.3,,1,8,3,45,48,0,49,43,92,0,0,14,0,0,4,5,0,0,0,1,15,106,0,0,2,25,1,3,12,27,0,0,0,1,3,0,4,0,5,0,0,0,0,0,2
V22-197,14.167,-18.58,-3167,0.72,,7,0,20,40,60,0,4,1,5,0,0,5,0,116,12,0,0,3,0,1,23,16,0,0,2,20,0,0,6,26,0,3,0,6,3,0,9,0,22,0,1,0,0,0,3
V22-202,14.4,-21.15,-4310,0,,18,4,4,1,5,1,30,22,52,2,0,3,0,0,0,0,0,0,0,1,2,92,0,0,23,33,0,1,14,4,0,0,0,137,51,0,188,0,0,0,0,0,0,0,0
V22-204,15.017,-23.23,-1723,0,,4,0,49,100,149,19,29,12,41,0,0,13,1,13,2,1,10,0,0,0,1,7,0,0,1,16,0,0,1,12,1,7,1,30,2,0,32,0,40,0,0,0,0,0,11
V22-211,20.7,-31.45,-4402,0,,2,3,15,146,161,1,53,23,76,1,0,13,7,3,5,1,1,1,0,0,5,5,0,0,3,8,6,5,3,6,0,0,0,24,2,0,26,0,20,0,0,0,0,0,1
V22-219,27.917,-43.63,-2582,0,,8,4,1,181,182,22,6,2,8,0,0,12,8,1,24,2,8,0,0,0,2,1,0,0,0,22,11,9,0,0,11,3,0,0,0,0,0,0,24,0,0,0,0,0,10
V22-230,32.65,-52.3,-5048,0,,2,2,0,59,59,0,1,9,10,2,0,3,0,35,11,0,0,2,2,7,61,21,0,0,2,77,14,4,0,125,12,0,0,3,0,0,3,0,14,0,0,0,0,0,15
V22-232,34.75,-57.25,-4685,0,,14,0,2,68,70,0,12,7,19,0,0,14,3,6,4,1,0,0,1,3,7,16,0,0,3,88,57,13,0,3,26,0,0,3,0,0,3,1,43,0,0,0,0,0,0
V22-24,12.75,-45.63,-4321,0,,4,4,32,168,200,0,107,47,154,1,0,27,4,0,0,3,0,0,0,0,2,29,0,1,11,0,0,4,4,0,0,0,0,15,3,0,18,2,19,0,0,0,0,0,4
V23-101,19.883,-25.53,-4482,0,,5,0,18,78,96,6,47,29,76,0,0,6,0,4,14,3,0,0,0,0,10,5,0,0,3,19,6,5,0,16,0,0,0,38,1,0,39,0,25,0,0,0,0,0,12
V23-105,17.2,-35.83,-5009,0,,3,9,17,146,163,2,49,34,83,0,0,17,2,0,0,3,0,0,0,0,1,22,0,0,12,5,3,8,5,5,0,0,0,30,12,0,42,0,19,0,0,0,0,0,3
V23-107,17.483,-40.67,-5104,0,,4,2,17,209,226,9,29,16,45,0,0,10,4,2,7,1,9,2,0,0,4,12,0,0,10,5,4,10,4,5,0,0,0,0,9,0,9,1,47,0,0,0,0,0,8
V23-13,41.517,-45.13,-4845,0,,6,1,0,62,62,0,7,7,14,0,0,9,3,71,21,1,0,0,5,18,70,15,0,0,6,132,7,3,0,34,14,0,0,13,0,0,13,0,27,0,0,0,0,0,7
V23-16,46,-45.05,-2813,0,,0,0,1,5,6,1,1,1,2,0,0,0,0,104,4,0,0,0,100,112,23,0,0,0,0,13,1,0,0,15,1,0,0,1,0,0,1,0,14,0,0,0,0,0,5
