Event,Latitude,Longitude,Elevation [m],Depth [m],Sample comment,O. universa [#],G. conglobatus [#],G. ruber p [#],G. ruber w [#],G. ruber [#] (sum of G. ruber pink and G. r...),G. tenellus [#],G. sacculifer wo sac [#],G. sacculifer sac [#],G. sacculifer [#] (sum of G. sacculifer no sac a...),S. dehiscens [#],G. adamsi [#],G. aequilateralis [#],G. calida [#],G. bulloides [#],G. falconensis [#],G. digitata [#],G. rubescens [#],G. humilis [#],G. quinqueloba [#],N. pachyderma s [#],N. pachyderma d [#],G. dutertrei [#],G. conglomerata [#],G. hexagona [#],P. obliquiloculata [#],G. inflata [#],G. truncatulinoides s [#],G. truncatulinoides d [#],G. crassaformis [#],G. pachyderma [#],G. hirsuta [#],G. scitula [#],G. anfracta [#],G. menardii [#],G. tumida [#],G. tumida flexuosa [#],"G. menardii [#] (sum of G. menardii, G. tumida...)",C. nitida [#],G. glutinata [#],G. iota [#],G. bradyi [#],G. pumilio [#],H. pelagica [#],H. digitata [#],Foram plankt oth [#]
V23-22,54.2,-45.97,-3669,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1,0,0,0,44,103,27,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,13,0,0,0,0,0,10
V23-29,59.95,-32.85,-2186,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,144,1,0,0,0,165,138,59,0,0,0,0,5,0,0,0,39,0,2,0,0,0,0,0,0,56,0,0,0,0,0,17
V23-38,62.667,-27.53,-1426,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9,0,0,0,103,49,98,0,0,0,0,2,0,0,0,31,0,1,0,0,0,0,0,0,49,0,0,0,0,0,21
V23-59,68.0333,0.0167,-3083,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,327,442,65,0,0,0,0,1,0,0,0,85,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1
V23-60,70.05,8.317,-2974,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,43,208,56,1,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
V23-63,77.95,0.2,-3050,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,584,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V23-64,77.867,7.267,-2529,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V23-70,70.983,6.683,-3047,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,278,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
V23-73,68.55,2.717,-2970,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,136,434,76,0,0,0,0,1,0,0,0,97,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4
V23-79,60.933,-17.57,-2478,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2,49,371,0,0,0,0,43,0,0,0,214,0,5,0,0,2,0,2,0,398,0,0,0,0,0,3
V23-81,54.25,-16.83,-2393,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,69,5,0,0,0,21,3,120,8,0,0,0,45,0,2,0,86,0,7,0,0,0,0,0,0,71,0,0,0,0,0,12
V23-82,52.583,-21.93,-3974,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,87,2,0,0,0,8,11,144,0,0,0,0,59,1,0,0,81,3,7,0,0,0,0,0,0,65,0,0,0,0,0,12
V23-83,49.867,-24.25,-3871,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,81,4,0,0,0,8,3,110,3,0,0,0,52,0,1,0,48,4,7,0,0,0,0,0,0,68,0,0,0,0,0,10
V23-84,46,-16.92,-4513,0,,9,0,0,9,9,0,2,0,2,0,0,6,1,49,23,0,0,1,15,2,101,0,0,0,0,51,4,21,0,37,2,11,0,0,0,0,0,0,58,0,0,0,0,0,17
V23-96,29.8,-15.1,-3471,0,,4,1,15,152,167,4,31,12,43,1,0,17,5,6,41,1,2,0,0,0,10,0,0,0,2,41,14,12,2,5,11,2,0,0,0,0,0,1,14,0,0,0,0,0,10
V24-31,12.25,-76.63,-3623,0,,27,15,0,0,96,0,0,0,48,14,0,22,0,1,1,0,0,0,0,1,0,55,0,0,41,0,1,2,3,0,0,0,0,55,70,0,125,0,18,0,0,0,0,0,0
V24-8,22.6,-72.6,-4887,0,,10,6,12,218,230,8,17,6,23,0,0,27,5,0,3,2,2,0,0,0,0,5,0,0,0,0,3,15,0,0,1,0,0,3,1,0,4,3,43,0,0,0,0,0,2
V25-24,26.783,-46.7,-4563,0,,5,2,11,195,206,13,7,3,10,0,0,14,3,0,11,1,4,0,0,0,0,1,0,0,1,10,6,5,0,1,3,0,0,1,0,0,1,0,23,0,0,0,2,0,5
V25-46,9.317,-43,-4310,0,,7,2,25,56,81,0,49,36,85,1,0,9,0,0,0,2,0,0,0,0,0,23,0,0,6,3,0,2,1,0,0,1,0,12,6,0,18,2,4,0,0,0,0,0,5
V26-125,17.033,-71.23,-2210,0,,15,3,29,105,134,4,54,5,59,1,0,20,0,0,0,0,2,0,0,0,0,15,0,0,2,0,1,0,1,0,0,0,0,17,10,0,27,2,23,0,0,0,0,0,0
V26-46,9.567,-18.18,-2898,0.4,,13,2,37,102,139,0,44,24,68,0,0,11,0,62,3,2,3,0,1,2,59,61,0,0,1,71,0,5,18,41,2,2,0,6,0,0,6,0,17,0,0,0,0,0,4
V26-50,6.267,-17.92,-4826,0,,5,4,0,5,5,0,12,20,32,3,0,0,0,0,0,7,0,0,0,0,0,92,0,0,30,1,0,0,4,0,0,0,0,12,87,0,99,0,3,0,0,0,0,0,3
V26-51,6.033,-18.25,-4572,0,,8,1,0,33,33,0,66,80,146,0,0,7,1,0,2,4,0,0,0,0,0,53,0,0,9,4,0,2,12,4,0,0,0,18,23,0,41,0,1,0,0,0,0,0,4
V26-52,5.833,-18.08,-4903,0,,13,7,0,3,3,0,21,18,39,12,0,0,4,0,0,5,0,0,0,0,0,98,0,0,39,0,0,0,8,0,0,0,0,28,91,0,119,0,1,0,0,0,0,0,1
V26-53,0.3,-14.8,-4323,0,,8,0,5,45,50,0,46,29,75,1,0,9,0,0,1,0,0,0,0,0,1,35,0,0,33,1,0,1,1,5,0,0,0,48,18,0,66,0,17,0,0,0,0,0,1
V27-10,42.267,-60.5,-3895,0,,1,0,0,1,1,0,1,0,1,0,0,0,0,39,0,0,0,0,2,75,44,11,0,0,2,71,1,1,0,55,1,0,0,4,1,0,5,0,5,0,0,0,0,0,2
V27-102,62.133,-14.2,-1641,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,7,415,200,0,0,0,0,39,0,0,0,202,0,1,0,0,3,0,3,0,58,0,0,0,0,0,10
V27-104,62.867,-17.93,-1057,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,186,91,0,0,0,0,73,0,0,0,29,12,0,0,0,0,0,0,0,13,0,0,0,0,0,2
V27-111,56.067,-24.08,-2809,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,7,202,140,0,0,0,0,98,0,1,0,68,7,4,0,0,0,0,0,0,30,0,0,0,0,0,12
V27-114,55.05,-33.07,-2532,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,14,12,70,0,0,0,0,8,0,0,0,58,0,0,0,0,0,0,0,0,90,0,0,0,0,0,4
V27-122,48.3,-16.97,-4696,0,,5,1,0,4,4,0,0,0,0,0,0,2,1,56,3,1,0,0,13,38,112,0,0,0,0,101,4,16,0,75,6,2,0,0,0,0,0,0,44,0,0,0,0,0,12
V27-126,43.8,-14.68,-5201,0,,30,0,0,1,1,0,0,0,0,0,0,3,0,1,2,0,1,0,0,14,52,0,0,0,0,77,2,4,1,19,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3
V27-137,42.7,-17.07,-4883,0,,12,1,0,17,17,0,6,4,10,0,0,5,0,24,6,3,0,5,2,4,95,1,0,0,0,88,5,15,0,34,8,10,0,0,0,0,0,0,34,0,0,0,0,0,6
V27-143,39.717,-20.15,-4932,0,,6,0,0,54,54,0,3,3,6,0,0,4,1,31,74,2,0,7,4,3,30,1,0,0,0,69,5,17,7,17,13,13,0,0,0,0,0,0,32,0,0,0,0,0,17
V27-144,39.617,-13.55,-4894,0,,9,0,0,27,27,1,0,0,0,0,0,1,0,33,4,2,2,0,27,14,72,0,0,0,0,55,1,5,1,58,3,0,0,0,0,0,0,0,22,0,0,0,0,0,13
V27-15,42.75,-43.23,-4856,0,,3,2,1,33,34,0,4,2,6,0,0,2,1,72,4,0,0,0,3,49,57,7,0,0,3,51,7,3,1,40,7,0,0,3,0,0,3,0,29,0,0,0,0,0,14
V27-16,44.167,-39.87,-4797,0,,1,1,0,21,21,0,4,3,7,0,0,0,0,46,11,0,0,0,0,47,37,12,0,0,1,126,6,7,0,48,14,2,0,2,0,0,2,0,36,0,0,0,0,0,4
V27-162,34.2,-16.87,-4281,0,,3,1,0,63,63,1,13,11,24,0,0,8,4,14,53,2,0,2,0,1,6,0,0,0,1,39,11,9,4,2,12,14,0,0,0,0,0,0,22,0,0,0,0,0,9
V27-164,29.483,-19.62,-4623,0,,3,0,6,138,144,2,16,3,19,0,0,8,3,4,40,0,1,3,0,0,25,0,0,0,0,12,5,4,2,20,4,3,0,0,0,0,0,0,23,0,0,0,0,0,15
V27-167,25.933,-26.58,-5099,0,,7,7,2,83,85,0,34,18,52,2,0,9,2,0,0,0,0,1,0,0,5,3,0,0,2,45,35,17,4,3,3,0,0,15,4,0,19,0,15,0,0,0,0,0,4
V27-17,50.1,-37.3,-2165,0,,1,0,0,3,3,0,0,0,0,0,0,1,0,106,6,0,0,0,24,21,35,0,0,0,0,10,0,0,1,36,1,1,0,0,0,0,0,0,28,0,0,0,0,0,7
V27-172,16.533,-28.85,-4938,0,,7,5,15,112,127,3,60,19,79,0,0,16,0,7,5,3,1,0,0,1,11,26,0,0,8,21,2,6,4,26,0,2,0,33,1,0,34,0,17,0,0,0,0,0,16
V27-20,54,-46.2,-3510,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,132,3,0,0,0,45,94,23,0,0,0,0,2,0,0,0,14,0,1,0,0,0,0,0,0,25,0,0,0,0,0,4
V27-21,54.033,-46.87,-3636,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,179,0,0,0,0,47,143,15,0,0,0,0,8,0,0,0,14,1,0,0,0,0,0,0,0,11,0,0,0,0,0,9
V27-22,54.467,-50.8,-3188,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,505,23,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
V27-23,54.733,-53.12,-830,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,256,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
V27-234,1,1.983,-4618,0,,5,0,1,22,23,0,34,27,61,5,0,7,3,5,2,1,0,0,0,0,1,112,0,0,11,18,0,0,15,0,0,1,0,75,7,0,82,0,1,0,0,0,0,0,3
V27-24,55.967,-56.07,-2628,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V27-248,3.05,-11.82,-4543,0.82,,4,2,15,31,46,1,27,2,29,0,0,0,0,0,0,0,2,0,0,0,9,26,0,0,0,11,0,0,20,19,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
V27-25,56.733,-54.7,-3146,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,399,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V27-250,1.05,-13.63,-4942,0,,42,0,0,4,4,0,13,15,28,18,0,9,1,2,0,9,0,0,0,0,2,25,0,1,86,6,0,0,3,10,0,1,0,8,59,0,67,0,18,0,0,0,0,0,4
V27-266,35.583,-43.9,-4804,0,,2,2,1,87,88,1,2,2,4,0,0,19,0,25,44,0,0,3,0,0,17,12,0,0,1,62,31,5,0,5,33,2,0,3,2,0,5,0,34,0,0,0,0,0,21
V27-28,58.183,-44.62,-2308,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,5,355,23,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
V27-30,59.15,-41.07,-2759,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,11,263,38,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6
V27-32,60.7033,-37.275,-2953,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,94,154,32,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,31,0,0,0,0,0,9
V27-33,61.933,-33.27,-2946,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,71,106,74,0,0,0,0,0,0,0,0,32,0,3,0,0,0,0,0,0,22,0,0,0,0,0,12
V27-38,61.367,-11.5,-1317,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,25,159,65,0,0,0,0,20,0,0,0,40,0,10,0,0,0,0,0,0,10,0,0,0,0,0,13
V27-40,63.45,-6.133,-1652,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,15,176,84,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V27-44,65.017,-6.217,-2772,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,167,600,16,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
V27-56,76.167,-5.4,-2736,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,645,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V27-58,73.533,2.667,-2754,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,610,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
V27-70,78.9,7.05,-1300,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
V27-71,78.833,4.633,-2439,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,628,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V27-74,76.467,6.917,-2778,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,526,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V27-79,78.117,3.617,-2308,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,575,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
V27-80,78.4,7.417,-2915,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,293,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V27-82,75,-10.8,-2895,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,474,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V27-98,60.65,-7.433,-980,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,37,724,31,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16
V28-111,14.933,-73.92,-4010,0,,8,3,0,0,171,1,0,0,122,3,0,12,1,0,0,1,0,0,0,0,0,28,0,0,8,0,0,1,2,0,0,0,0,27,12,0,39,1,15,0,0,0,0,0,1
V28-115,13.933,-72.37,-2109,0,,30,6,6,57,63,0,22,6,28,2,0,17,0,2,2,0,0,0,0,0,0,68,0,0,13,0,0,4,7,0,0,0,0,37,19,0,56,0,12,0,0,0,0,0,2
V28-116,13.367,-74.3,-4027,0,,4,1,0,0,9,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,2,3,0,1,1,0,0,0,0,5,5,0,10,0,3,0,0,0,0,0,1
V28-119,17.033,-76.6,-1781,0.8,,5,10,28,161,189,11,19,3,22,0,0,32,0,2,1,1,6,0,0,1,1,10,0,0,0,11,1,12,7,0,0,2,0,0,1,0,1,0,46,0,0,0,0,0,1
V28-126,10.983,-81.15,-3162,0,,8,3,0,0,168,0,0,0,96,2,0,18,0,0,0,0,1,0,0,0,0,28,0,0,1,0,0,1,1,0,0,0,0,39,13,0,52,1,18,0,0,0,0,0,0
V28-129,11.117,-80.4,-3400,0.8,,17,8,29,110,139,15,22,1,23,0,0,23,0,1,1,0,0,0,0,0,1,23,0,0,0,5,1,15,2,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,3
V28-22,72.433,-13.65,-1284,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,456,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V28-28,73.483,-0.833,-2288,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V28-28,73.483,-0.833,-2288,0,x,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
V28-29,72.183,5.267,-2547,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,144,427,21,0,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
V28-29,72.183,5.267,-2547,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,102,257,28,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
V28-30,71.167,-1.617,-2915,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,40,600,22,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
V28-30,71.167,-1.617,-2915,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,288,15,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
V28-33,62.9,0.583,-1170,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,168,108,0,0,0,0,2,0,0,0,111,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1
V28-34,64.833,-3.583,-3217,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,81,531,33,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
V28-34,64.833,-3.583,-3217,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,72,226,16,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
V28-36,68.717,-12.72,-1816,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,319,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V28-36,68.717,-12.72,-1816,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,707,14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V28-37,72.0667,-9.0667,-2395,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,472,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V28-38,69.383,-4.4,-3411,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,569,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
V28-41,67.683,0.233,-3545,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,104,452,78,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
V28-41,67.683,0.233,-3545,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,54,192,43,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
V28-49,74.483,11.667,-2327,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,379,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V28-60,64.0833,-4.0167,-3244,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,403,24,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
V28-98,26.783,-50.83,-4083,0,,7,7,1,202,203,8,16,9,25,1,,26,,4,5,1,,,,,,,,,22,5,16,1,,3,,,,,,1,39,,,,,,2,,
V29-16,14.15,88.083,-2950,0,,0,11,0,8,8,0,36,9,45,2,0,24,9,2,0,14,6,0,0,0,0,50,30,8,14,0,0,0,0,0,0,0,0,89,0,6,95,0,5,0,0,0,0,0,0
V29-167,16.383,-17.92,-2822,0,,10,0,19,27,46,4,16,11,27,0,0,8,3,72,8,4,3,0,3,0,38,10,0,0,0,82,0,0,3,65,0,7,0,30,0,0,30,0,25,0,0,0,0,0,13
V29-170,22.467,-20.07,-4455,0,,7,0,4,159,163,14,47,19,66,0,0,25,2,1,44,2,5,5,0,0,23,0,0,0,4,33,17,8,3,9,5,0,0,2,0,0,2,0,39,0,0,0,0,0,17
V29-176,40.55,-26,-3064,0,,1,1,3,41,44,18,6,6,12,0,0,9,6,137,100,0,1,4,7,4,73,0,0,0,0,114,16,26,2,43,33,25,0,0,0,0,0,0,35,0,0,0,0,0,16
V29-177,41.533,-25.72,-3391,0,,2,0,2,20,22,1,2,0,2,0,0,2,5,95,47,1,0,0,8,4,27,0,0,0,0,66,11,32,0,24,11,22,0,0,0,0,0,0,32,0,0,0,0,0,6
V29-178,42.85,-25.15,-3448,0,,10,0,0,29,29,4,1,0,1,0,0,9,5,98,75,0,0,0,8,2,68,0,0,0,0,72,11,31,0,18,19,26,0,0,0,0,0,0,50,0,0,0,0,0,9
V29-179,44.017,-24.53,-3331,0,,1,1,1,15,16,3,1,0,1,0,0,11,7,136,58,3,0,0,8,2,95,0,0,0,0,74,9,40,0,38,12,28,0,0,0,0,0,0,43,0,0,0,0,0,21
V29-180,45.3,-23.87,-3179,0,,9,0,0,20,20,3,0,0,0,0,0,8,5,133,70,1,0,0,22,18,122,0,0,0,0,117,7,37,0,58,9,49,0,0,0,0,0,0,41,0,0,0,0,0,19
V29-183,49.133,-25.5,-3643,0,,0,0,0,5,5,0,0,0,0,0,0,0,1,99,8,0,0,1,11,7,103,0,0,0,0,65,2,6,0,76,11,14,0,0,0,0,0,0,65,0,0,0,0,0,7
V29-184,49.133,-25.5,-3645,0,,3,0,0,3,3,0,0,0,0,0,0,1,2,96,19,0,0,0,19,4,129,0,0,0,0,81,3,1,0,68,8,17,0,0,0,0,0,0,61,0,0,0,0,0,8
V29-189,52.367,-17.53,-4093,0,,8,0,0,5,5,0,0,0,0,0,0,5,0,129,4,1,0,0,17,28,152,0,0,0,0,92,0,6,0,132,6,18,0,0,0,0,0,0,72,0,0,0,0,0,11
V29-190,52.667,-15.17,-1458,0,,2,0,0,4,4,0,0,0,0,0,0,2,1,187,11,0,0,0,44,36,220,0,0,0,0,63,1,7,0,114,0,31,0,0,0,0,0,0,125,0,0,0,0,0,15
V29-193,55.4,-18.73,-1326,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,209,6,1,0,0,50,25,206,0,0,0,0,60,1,6,0,175,6,16,0,0,0,0,0,0,90,0,0,0,0,0,14
V29-194,57,-21.32,-2085,0,,0,0,0,1,1,0,0,0,0,0,0,1,0,164,3,0,0,0,40,27,169,0,0,0,0,49,0,0,0,89,2,9,0,0,0,0,0,0,114,0,0,0,0,0,16
V29-198,58.733,-15.57,-1139,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,151,0,0,0,0,41,2,173,0,0,0,0,24,0,1,0,91,0,6,0,0,0,0,0,0,116,0,0,0,0,0,18
V29-200,59.95,-19.2,-2650,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1,0,0,0,18,3,85,1,0,0,0,23,0,0,0,69,0,4,0,0,0,0,0,0,96,0,0,0,0,0,3
V29-202,60.383,-20.97,-2658,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,4,7,102,0,0,0,0,21,0,0,0,35,0,3,0,0,0,0,0,0,67,0,0,0,0,0,3
V29-203,60.8,-22.45,-2085,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,0,0,0,7,23,115,0,0,0,0,18,0,0,0,36,0,5,0,0,0,0,0,0,67,0,0,0,0,0,6
V29-204,61.183,-23.02,-1849,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,12,0,99,0,0,0,0,13,0,0,0,57,0,4,0,0,0,0,0,0,85,0,0,0,0,0,5
V29-205,61.55,-25.12,-1450,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,95,0,1,0,0,22,4,111,0,0,0,0,13,0,0,0,34,0,2,0,0,0,0,0,0,110,0,0,0,0,0,9
V29-209,65.6,-6.483,-2698,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,318,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
V29-210,66.733,-6.733,-2460,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,491,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
V29-211,67.783,-6.667,-2553,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,166,416,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
V29-214,72.967,-6.983,-2608,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,314,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
V29-215,75.933,-5.117,-3139,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,638,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
V29-218,68.383,-5.417,-3411,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61,355,12,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
V29-220,65.167,-0.067,-2873,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,115,187,64,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3
V29-222,62.85,-14.53,-1694,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,0,0,0,57,52,77,0,0,0,0,3,0,0,0,17,0,3,0,0,0,0,0,0,54,0,0,0,0,0,15
V29-223,61.917,-24.05,-1555,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,86,6,0,0,0,28,26,98,0,0,0,0,10,0,0,0,23,0,3,0,0,0,0,0,0,62,0,0,0,0,0,15
