Year,Temperature,pCO2,Group
1780,12.254874,280.679,1.5
1800,12.285974,284.565,1.5
1820,12.32181,288.454,1.5
1840,12.359966,292.345,1.5
1860,12.399446,296.237,1.5
1880,12.439753,300.13,1.5
1900,12.480604,304.023,1.5
1920,12.521818,307.917,1.5
1940,12.563273,311.811,1.5
1960,12.604882,315.706,1.5
1980,12.780915,347.399,1.5
2000,13.026489,380.897,1.5
2050,13.51029,430.258,1.5
2100,13.75321,449.738,1.5
1780,12.262379,281.729,2
1800,12.294589,285.501,2
1820,12.330281,289.274,2
1840,12.367826,293.05,2
1860,12.406475,296.826,2
1880,12.445835,300.602,2
1900,12.48567,304.38,2
1920,12.525827,308.157,2
1940,12.5662,311.935,2
1960,12.606711,315.714,2
1980,12.78218,347.4,2
2000,13.027499,380.898,2
2050,13.674896,468.496,2
2100,14.308126,559.273,2
1780,12.262379,281.729,3
1800,12.294589,285.501,3
1820,12.330281,289.274,3
1840,12.367826,293.05,3
1860,12.406475,296.826,3
1880,12.445835,300.602,3
1900,12.48567,304.38,3
1920,12.525827,308.157,3
1940,12.5662,311.935,3
1960,12.606711,315.714,3
1980,12.78218,347.4,3
2000,13.027499,380.898,3
2050,14.001347,557.192,3
2100,15.303121,813.353,3
1780,12.254874,280.68,4
1800,12.285974,284.57,4
1820,12.32181,288.45,4
1840,12.359966,292.35,4
1860,12.399446,296.24,4
1880,12.439753,300.13,4
1900,12.480604,304.02,4
1920,12.521818,307.92,4
1940,12.563273,311.81,4
1960,12.604882,315.71,4
1980,12.780915,347.4,4
2000,13.026489,380.9,4
2050,14.376889,673.8,4
2100,16.249474,1147.28,4